job_category,salary_in_usd,experience_level,work_setting,company_size,Cluster
BI and Visualization,185000.0,Senior,In-person,L,0
BI and Visualization,79600.0,Senior,In-person,L,0
Data Science and Research,222200.0,Senior,In-person,L,0
Data Engineering,110000.0,Senior,Remote,M,1
Data Engineering,95000.0,Senior,Remote,M,1
Machine Learning and AI,322612.5,Senior,In-person,M,0
Machine Learning and AI,159000.0,Senior,In-person,M,0
Machine Learning and AI,207700.00000000003,Senior,In-person,M,0
Machine Learning and AI,133700.0,Senior,In-person,M,0
Data Science and Research,71000.00000000001,Mid-level,Remote,M,4
Data Science and Research,57000.0,Mid-level,Remote,M,4
Data Analysis,59000.00000000001,Mid-level,Remote,M,4
Data Analysis,50000.00000000001,Mid-level,Remote,M,4
Machine Learning and AI,234000.0,Senior,Remote,M,1
Machine Learning and AI,208000.0,Senior,Remote,M,1
Leadership and Management,187000.0,Senior,Remote,M,1
Leadership and Management,128000.0,Senior,Remote,M,1
Machine Learning and AI,50000.00000000001,Mid-level,Remote,L,4
Data Science and Research,64781.00000000001,Mid-level,Remote,L,4
Data Science and Research,21000.0,Mid-level,Remote,S,4
Data Analysis,135000.0,Mid-level,In-person,M,2
Data Analysis,120000.0,Mid-level,In-person,M,2
Data Architecture and Modeling,150000.0,Mid-level,Remote,M,4
Data Architecture and Modeling,140000.0,Mid-level,Remote,M,4
Data Science and Research,280000.0,Senior,Remote,M,1
Data Science and Research,190000.0,Senior,Remote,M,1
BI and Visualization,43064.0,Mid-level,In-person,M,2
Machine Learning and AI,245700.0,Senior,In-person,M,0
Machine Learning and AI,132300.0,Senior,In-person,M,0
Data Management and Strategy,90000.0,Mid-level,In-person,M,2
Data Management and Strategy,80000.0,Mid-level,In-person,M,2
Data Science and Research,212000.0,Mid-level,In-person,M,2
Data Science and Research,93300.0,Mid-level,In-person,M,2
Data Engineering,58300.00000000001,Mid-level,In-person,M,2
Data Analysis,145640.0,Senior,In-person,M,0
Data Analysis,84400.00000000001,Senior,In-person,M,0
Data Engineering,300000.0,Senior,Remote,M,1
Data Engineering,195000.0,Senior,Remote,M,1
Data Architecture and Modeling,190000.0,Senior,Remote,M,1
Data Architecture and Modeling,107499.99999999999,Senior,Remote,M,1
Data Analysis,104999.99999999999,Senior,In-person,M,0
Data Analysis,75000.0,Senior,In-person,M,0
Data Analysis,98000.0,Senior,Remote,M,1
Data Science and Research,236160.0,Senior,Remote,M,1
Data Science and Research,159408.0,Senior,Remote,M,1
Data Analysis,115000.0,Senior,Remote,M,1
Data Analysis,85000.0,Senior,Remote,M,1
Leadership and Management,145000.0,Senior,In-person,M,0
Leadership and Management,120000.0,Senior,In-person,M,0
Data Analysis,120350.0,Senior,Remote,M,1
Data Analysis,74400.0,Senior,Remote,M,1
Data Analysis,158494.0,Senior,Remote,M,1
Data Analysis,88052.0,Senior,Remote,M,1
Leadership and Management,181499.99999999997,Senior,In-person,M,0
